,0,1,2,3,4
"Alameda County, CA",80.864994,6001.0,4.3,320.4,44.7
"Amador County, CA",1.834462,6005.0,5.9,1514.8,22.1
"Butte County, CA",11.099921,6007.0,6.6,1880.6,26.6
"Calaveras County, CA",2.219847,6009.0,5.7,1476.4,19.3
"Colusa County, CA",1.056097,6011.0,15.5,430.4,15.7
"Contra Costa County, CA",55.722506,6013.0,4.5,504.0,40.7
"Del Norte County, CA",1.343678,6015.0,7.5,1729.9,14.4
"El Dorado County, CA",9.118018,6017.0,5.1,745.9,33.3
"Fresno County, CA",47.919844,6019.0,9.5,565.4,20.1
"Glenn County, CA",1.364699,6021.0,8.3,698.0,13.0
"Humboldt County, CA",6.679386,6023.0,4.9,1142.1,29.4
"Imperial County, CA",8.833132,6025.0,24.1,529.6,14.3
"Inyo County, CA",0.881804,6027.0,5.3,846.0,25.3
"Kern County, CA",43.235689,6029.0,10.4,585.0,15.8
"Kings County, CA",7.325941,6031.0,10.0,516.4,13.0
"Lake County, CA",3.130316,6033.0,6.7,1961.5,15.3
"Lassen County, CA",1.514394,6035.0,6.9,1380.3,12.4
"Los Angeles County, CA",495.90646,6037.0,5.3,278.7,31.2
"Madera County, CA",7.55384,6039.0,9.2,456.4,13.8
"Marin County, CA",12.771017,6041.0,3.3,462.8,57.5
"Mariposa County, CA",0.855295,6043.0,6.9,957.8,24.4
"Mendocino County, CA",4.281718,6045.0,5.3,1406.7,24.8
"Merced County, CA",13.130579,6047.0,10.6,726.5,13.8
"Modoc County, CA",0.437815,6049.0,7.8,1026.0,16.6
"Mono County, CA",0.695898,6051.0,5.4,287.0,31.5
"Monterey County, CA",21.303583,6053.0,7.6,542.5,23.9
"Napa County, CA",6.918065,6055.0,4.3,530.1,34.6
"Orange County, CA",155.364643,6059.0,4.0,418.6,39.1
"Placer County, CA",18.585112,6061.0,4.5,832.0,37.5
"Plumas County, CA",0.919828,6063.0,9.7,1102.2,22.6
"Riverside County, CA",116.74593,6065.0,6.1,489.3,21.5
"Sacramento County, CA",74.06399,6067.0,5.4,566.5,29.9
"San Benito County, CA",2.902515,6069.0,6.7,579.8,19.2
"San Bernardino County, CA",104.574526,6071.0,5.8,515.6,19.8
"San Diego County, CA",162.20372,6073.0,4.7,423.7,37.4
"San Francisco County, CA",42.766955,6075.0,3.3,432.1,55.8
"San Joaquin County, CA",35.877065,6077.0,8.1,553.3,18.1
"San Luis Obispo County, CA",13.815942,6079.0,4.3,864.4,34.0
"San Mateo County, CA",37.641996,6081.0,3.0,369.8,48.5
"Santa Barbara County, CA",21.789075,6083.0,5.1,545.0,33.3
"Santa Clara County, CA",94.549469,6085.0,3.8,194.0,50.0
"Santa Cruz County, CA",13.460398,6087.0,7.0,133.4,39.8
"Shasta County, CA",8.750469,6089.0,7.0,1597.0,21.4
"Sierra County, CA",0.144893,6091.0,7.6,249.7,21.4
"Siskiyou County, CA",2.130471,6093.0,8.5,1564.2,22.7
"Solano County, CA",21.5257,6095.0,5.5,496.2,25.6
"Sonoma County, CA",24.659201,6097.0,4.0,764.5,33.8
"Stanislaus County, CA",26.437558,6099.0,8.6,1071.0,16.7
"Sutter County, CA",4.699002,6101.0,9.7,1419.1,17.5
"Tehama County, CA",3.104248,6103.0,7.1,1235.3,14.4
"Trinity County, CA",0.62867,6105.0,7.1,1587.1,19.5
"Tulare County, CA",22.541127,6107.0,11.2,600.1,13.8
"Tuolumne County, CA",2.631496,6109.0,6.2,1869.7,20.6
"Ventura County, CA",41.597129,6111.0,5.2,544.8,32.6
"Yolo County, CA",10.56097,6113.0,5.9,447.1,40.6
"Yuba County, CA",3.675098,6115.0,8.6,1110.2,16.4
