,,2020_predicted_death_rate,2016_real_death_rate
0,AL,15.014576331108044,7.5
1,AK,16.272145946163363,12.5
2,AZ,15.662742287424429,11.4
3,AR,15.06026285148422,5.9
4,CA,15.042080744303773,4.9
5,CO,14.98685044127347,9.5
6,CT,14.98685044127347,24.5
7,DE,15.190638996509085,16.9
8,FL,14.279281492503763,14.4
9,GA,14.357282552473205,8.8
10,HI,15.24007652564661,5.2
11,ID,14.279281492503763,7.4
12,IL,15.106383868303956,15.3
13,IN,15.059977010242072,12.6
14,IA,15.085869445227033,6.2
15,KS,15.023486111893698,5.1
16,KY,15.155287027308395,23.6
17,LA,17.24280720850667,7.7
18,ME,15.484038735423498,25.2
19,MD,15.24007652564661,29.7
20,MA,16.237756560841305,29.7
21,MI,15.059977010242072,18.5
22,MN,14.98685044127347,7.4
23,MS,16.7390243335385,6.2
24,MO,15.059977010242072,15.9
25,MT,15.111782638852592,4.2
26,NE,15.085869445227033,2.4
27,NV,15.023486111893698,13.3
28,NH,17.159000012486953,35.8
29,NJ,15.24007652564661,16.0
30,NM,15.58654098938426,17.5
31,NY,14.853157783930815,15.1
32,NC,14.381595057622217,15.4
33,ND,15.106383868303956,7.6
34,OH,15.187678109143171,32.9
35,OK,15.248896843928557,11.6
36,OR,15.92839068256738,7.6
37,PA,16.177890264937115,18.5
38,RI,15.903689962965345,26.7
39,SC,15.18343530546702,13.1
40,SD,14.780796930607147,5.0
41,TN,15.18343530546702,18.1
42,TX,15.085869445227033,4.9
43,UT,16.037382620308,16.4
44,VT,16.953418466255407,18.4
45,VA,15.24007652564661,13.5
46,WA,15.793897428272656,9.4
47,WV,16.457593948972086,43.4
48,WI,14.797879471965002,15.8
49,WY,15.069258868303956,8.7
